Number,Description - Long,Lifecycle Phase,Rev,Overall Compliance,Subclass
RM002,"RESIN, PCTG, EASTMAN, #DN003",Discontinued,1,,Part
RM004,"RESIN, RANDOM PP, R35C-01",Active,0,,Part
RM010,LLDPE 2 MELT DOW ATTANE 4202,Discontinued,1,,Part
RM016,"STYRENE GREY, 25/1,#CHC-9760-A",Active,0,,Part
RM017,"BLUE, 25/1, PCTG, #BEC-12673",Discontinued,1,,Part
RM018,"YELLOW, 25/1,HIPS,#YHC-9358-A",Active,0,,Part
RM020,"WHITE,25/1, PP #WPC-3504",Active,0,,Part
RM022,"BEIGE,25/1, PP, #CPC-974",Discontinued,1,,Part
RM025,"GREEN, 25/1, PP, #GHC-23793",Active,0,,Part
RM026,"YELLOW, 25/1, PP, #YPC-3159-B",Active,0,,Part
RM029,"PURPLE, 25/1, PP, #VPC-4018",Discontinued,1,,Part
RM031,"RED, 50/1, PP, #RPC-667B",Discontinued,1,,Part
RM032,"TRANS RED, 50/1, #RPC-2226B",Active,0,,Part
RM036,"RESIN, LDPE, #GA-574189",Active,0,,Part
RM041,"YELLOW,50/1,LDPE, #YCC-5533",Active,0,,Part
RM042,"RED,50/1,LDPE, #RCC-5532",Active,0,,Part
RM044,"RESIN, LDPE, U.S.I, #NA831-000",Active,0,,Part
RM045,"RED, 20/1, HIPS, #HC3140-D",Discontinued,1,,Part
RM053,BEIGE COLORANT,Discontinued,1,,Part
RM054,"Colorant, Red, Concentrate",Active,1,,Part
RM060,RESIN-SANTOPRENE THERMOPLASTIC,Active,0,,Part
RM061,"WHITE, 30/1, #WMC-8612",Active,0,,Part
RM063,"GREY, 10/1, PP, #CPC-8140",Discontinued,1,,Part
RM067,"TRANS BLUE, 50/1; PP#BPC-16756",Active,0,,Part
RM070,BLUE COLORANT 25/1 BPC23456,Active,0,,Part
RM072,"MOOSE TAN, 25/1, #TPC-1341-B",Discontinued,1,,Part
RM074,UNIVERSAL BLACK CONCENTRATE,Active,0,,Part
RM077,TRANSPARENT BEIGE COLORANT,Discontinued,1,,Part
RM093,"RESIN, IMPACT PP, #5325",Active,0,,Part
RM102,"RESIN, RANDOM CO-P PP, SR-857M",Discontinued,1,,Part
RM104,RESIN EQUISTAR PP 35FU01,Discontinued,1,,Part
RM106,RESIN RANDOM PP CO-P #6824MZ,Active,0,,Part
RM108,RESIN HDPE H5234 33MF GENERAL,Discontinued,1,,Part
RM110,RESIN - POLYPROPYLENE 3620WZ,Active,0,,Part
RM112,POLYPROPYLENE COPOLYMER MEDIUM,Active,0,,Part
RM115,SILOXANE ADDITIVE,Active,0,,Part
RM117,"RESIN, IMPACT PP, PP37NU01",Discontinued,1,,Part
RM125,RESIN RANDOM PP CO-P #6825WZ,Discontinued,1,,Part
RM129,RESIN PP TOTAL 4720WZ,Active,0,,Part
RM140,HYPERFORM CONCENTRATE,Discontinued,1,,Part
RM141,BLOWING ADDITIVE,Discontinued,1,,Part
RM151,RESIN POLYPROPYLENE PF536 REGR,Discontinued,1,,Part
RM152,RESINPP RECYCLED HQ DPR SCRAP,Discontinued,1,,Part
RM154,RED IN-HOUSE REGRIND FOR MW,Active,0,,Part
RM156,"Clarified Red,In House Regrind",Discontinued,1,,Part
RM157,"RESIN, POLYPROPYLENE,",Active,0,,Part
RM160,"RESIN, POLYPROPYLENE",Active,0,Compliant,Part
RM162,"Resin, Polypropylene/PE, Covidien Blend, Blue",Active,2,,Part
RM163,Red powder colorant,Preliminary,,,Part
RM164,"Resin, Kraton G1657MS/G1657VS",Active,2,,Part
RM165,"Resin,  Greenwood blend, Pre - colored Red",Active,7,,Part
RM168,"Regrid Resin, Polypropylene Blend, Dark",Active,1,,Part
RM169,"Resin, Polypropylene",Active,1,,Part
RM170,"Colorant, Trans-Red, 50/1, PP32760698",Active,0,,Part
RM171,"Resin, Random PP Co-P RP4915",Active,0,Compliant,Part
RM172,"Polyethylene, T-50-2000, for RM168 Blend",Discontinued,1,,Part
RM174,"Regrind, In-House, Dark",Active,1,,Part
RM175,"Resin, Linear Low Density Polyethylene  LL3001",Active,0,,Part
RM176,"Resin, Polypropylene Impact Copolymer, Braskem TI6350WV",Active,0,,Part
RM177,"Resin, Polypropylene, 8 IZOD Mixed Color Reprocessed",Active,0,Compliant,Part
RM201,"COLORANT, RED LIQUID COLOR FOR",Discontinued,1,,Part
RM210,TRANS RED LIQUID #PP31642733,Discontinued,1,,Part
RM220,YELLOW LIQUID #PP13642468,Active,0,,Part
RM260,TRANS YELLOW #PP11710084,Active,0,,Part
WP0001PKG,"Label Kit, 20 Count",Active,2,,Part
WP0002PKG,"Label Kit, 5 Count",Active,2,,Part
WP0003PKG,"Label Kit, 14 Count",Active,2,,Part
WP2200,WHITE 2 GA LID W/RED SNAPCAP,Active,0,,Part
WP2201,WHITE 2 GA LID W/YELL SNAPCAP,Active,0,,Part
WP2202,BLUE 2 GA LID W/YELLOW SNAPCAP,Active,0,,Part
WP3204,"Snap Cap and Lid Assembly, Biohazard",Active,1,,Part
WP3205,LID&SNAPCAP GSKT ASSEM.BIOHAZ,Discontinued,1,,Part
WP3206,LID & SNAP CAP ASSEM/NO GASKET,Active,0,,Part
WP4810,"Lid and Door Assembly, 7 and 10 Gallon Containers",Active,1,,Part
WP4836,"Gatorguard, Lid Assembly for 2 Gallon and 3 Gallon",Discontinued,5,,Part
WP4836BK,"RCRA Lid Assembly, Black",Discontinued,4,,Part
WP4836MDS,Gatorguard Lid Assembly for MDS705203,Discontinued,1,,Part
WP4837MDS,Gatorguard Lid Assembly for MDS705151,Discontinued,1,,Part
WP4837PSS,Gatorguard Lid Assembly for 044,Discontinued,1,,Part
WP7024K,Clear 2 Gallon Auto Drop Rotor Lid,Active,1,,Part
WP7025N-0,2 GAL CLEAR LID CUT & TRIMMED,Discontinued,1,,Part
WP7026,1 Quart 8900 Lid Packed into Inner Carton,Active,1,,Part
WP7026P,"1 Quart 8900 Lid Packed Into Inner Carton for PREVENT, Private label",Active,1,,Part
WP7029N,ASSEM.OF 8910 HOLDER&FOAM TAPE,Active,0,,Part
WP7044N-0,3 GAL CLEAR LID CUT & TRIMMED,Discontinued,0,,Part
WP7102,"Slide Top Lid Assembly, 1and 2 Gallon",Active,1,,Part
WP7408,DISP THREAD ASSM,Discontinued,1,,Part
WP7409,HOLDER BODY ASSEMBLED-BULKED,Discontinued,1,,Part
WP7417,"Hot Air Staker Chemotherapy Lid, 12/18 Gallon",Discontinued,5,,Part
WP7417BL,"Hot Air Staker PharmaSafety Lid, 12/18 Gallon",Active,4,,Part
WP7417BLNB,"Hot Air Staker, Non Hazardous, Non Biohazard, Pharmaceutical, Lid, 12/18 Gallon",Active,4,,Part
WP7417P,"Slide Top, Foam In Place Lid, 12 and 18 Gallon Container, PGII",Active,5,,Part
WP7418,"Slide Top Hinged Gasketed Lid, 12 and 18 Gallon",Active,5,,Part
WP7445,8 GA HEAT STK LID RAILS DOORS,Active,0,,Part
WP7449,"Hotair Staked Chemotherapy Lid, 8 Gallon",Active,4,,Part
WP7450,"Slide Top Hinged Gasketed Lid, 8 Gallon",Active,5,,Part
WP7450BL,"Hot Air Staker PharmaSafety Lid, 8 Gallon",Active,4,,Part
WP7450BLNB,"Hot Air Staker, Non Hazardous, Non Biohazard, Pharmaceutical, Lid, 8 Gallon",Active,4,,Part
WP7462,SHARPSTAR II PRINTED DOOR,Active,2,,Part
WP7462NB,"Pharmaceutical, Non Hazardous, Non Biohazard, Door With Pad Printing",Active,0,,Part
WP7464,Bulk Pack 2.2 Quart Lids,Active,1,,Part
WP7477,"Chemotherapy Hood with Printed Instruction Label, 8 /12 /18 Gallon",Active,2,,Part
WP7477NB,"Pharmaceutical, Non Hazardous, Non Biohazard, Hood, With Printed Instruction Label, 8/18 Gallon.",Active,4,,Part
WP7478,CHEMO CAP DISC ASSM,Active,1,,Part
WP7483,12/18 GA BIO LID ASSM,Active,0,,Part
WP7502,5 Quart Door Assembly,Active,1,,Part
WP7502MW,5 QT DOOR ASSMBLY MED WASTE,Active,1,,Part
WP7505,PAD PRINTED LID,Active,0,,Part
WP7506,"2GAL. 5"" ROTOR - PAD PRINTED",Discontinued,1,,Part
WP7596,PRINTED TUMBLER FOR GATORGUARD,Active,0,,Part
WP7605,ASSMBLY 5QT CLR TORTUOUS LID,Active,1,,Part
WP7611,19 GAL BIPCO LID,Discontinued,1,,Part
WP7615,ASSMLY OF 1&2GAL SLIDE TOP LID,Active,0,,Part
WP7623,SS4 HOT STAMPED DOOR,Active,0,,Part
WP7633,PRINTED DOOR FOR 5QT RCRA LID,Active,0,,Part
WP8502U,DOOR LID ASSM W/UNWINDER,Discontinued,1,,Part
WP8506,"Lid, Scoop, and Door Assembly, 5 Quart",Active,3,,Part
WP8506MW,"SharpStar III, Lid, Hood, and Door Assembly with Recycled Medical Waste",Active,2,,Part
WP8510,LID/DOOR ASSEMBLED,Active,1,,Part
WP851201N,LID/DOOR SCOOP ASSY 5QT,Active,2,,Part
WP8512U,"Lid, Door, Scoop Assmebly, 5 Quart Unwind",Active,1,,Part
WP8520MW,COWL&LID ASMBLY 3.5% MED WASTE,Discontinued,1,,Part
WP8520N,COWL/DOOR & LID ASSEM CLEAR,Active,0,,Part
WP8520N01,COWL & DIE CUT LID ASSY CLEAR,Discontinued,1,,Part
WP8520N02,COWL/DOOR & LID ASSEM CLEAR,Active,0,,Part
WP8520U,COWL & LID ASSM UNWINDER,Active,0,,Part
WP8526,"Hinged Lid with Rotor, 3 Gallon, Clear",Active,1,,Part
WP8536,"SharpStar II Lid, Door and Cowl",Active,4,,Part
WP8540,SS4 HOOD LID & DOOR ASSEMBLY,Active,1,,Part
WP8825,2GAL PharmaSafety FIP SNAP CAP,Active,2,,Part
WP8836P,"PharmaSafety Lid, Door and Cowl",Active,2,,Part
WP8836PNB,"Pharmaceutical, Non Hazardous, Non Biohazard, Lid, Door and Cowl",Active,1,,Part
WP8850,8 GAL.PharmaSafety FIP GKT LID,Active,3,,Part
WP8860,"FIP Gasketed Lid, PharmaSafety, 12 and 18 Gallon",Active,5,,Part
WP8901,1QT.8900 CONT LABEL ATTCH  RED,Discontinued,1,,Part
WP8906,1QT 8906 CONT LABEL ATTCHED,Discontinued,1,,Part
WP8908,1QT 8908 CONT LABEL ATTACHED,Discontinued,1,,Part
WP8920,8920 LID & LOCKING ROTOR ATT.,Active,0,,Part
WP8935,12 GA HEAT STK LID DOOR &RAILS,Active,1,,Part
WP8950SA,LID & LKG ROTOR ATTCH. 8950SA,Active,3,,Part
WP8961,8961 PAD PRINTED/ROTORED LID,Discontinued,1,,Part
WP8964,LID AND ROTOR ASSEMBLY,Active,0,,Part
WP8965MW,COWL & LID ASSY MED.WASTE,Active,0,,Part
WP8965N,"Cowl and Lid Assembly, Clear",Active,1,,Part
WP8965N01,COWL & DIE CUT LID ASSY CLEAR,Discontinued,1,,Part
WP8965U,COWL & LID ASSM UNWINDER,Active,0,,Part
WP8979,See Thru Lid and Lock with Rotor Attached,Active,2,,Part
WP8980-C,8 Gallon Locking Rotor Lid,Active,2,,Part
WP8982,"Foam in Place Gasketed Lid, Hinged, 2 Gallon, White",Active,1,,Part
WP8982MA,SNAP CAP GSKT MAIL AWAY LID,Discontinued,1,,Part
WP8985,"Foam in Place Gasketed Lid, Single Pass, 8 Gallon",Active,4,,Part
WP8986,"Foam in Place Gasketed Lid, Hinged, 8 Gallon",Active,4,,Part
WP8998,"FIP Gasketed Lid, Hinged, Chemotherapy, 18 Gallon",Active,4,,Part
WP8998P,"FIP Gasketed Lid, Hinged, 12 and 18 Gallon Container, PGII",Active,5,,Part
WP8999,"FIP Gasketed Lid, Hinged, 12/18 Gallon",Active,4,,Part
WPV8506,"Lid, Scoop, and Door Assembly, 5 Quart",Active,2,,Part
WPV8536,"SharpStar II Lid, Door, and Cowl, VHA",Active,4,,Part
X1611,OVERSHIPPER FOR PROGUARD,Discontinued,1,,Part
X1615,O/S FOR R7511A BIOMAX LID,Discontinued,1,,Part
X1616,DIVIDER FOR 30 GAL.BIOMAX LID,Discontinued,1,,Part
X1629,#1 BULK BOX,Discontinued,1,,Part
X1630,#2 BULK BOX,Discontinued,1,,Part
X1631,#3 BULK BOX,Discontinued,1,,Part
X1632,#4 BULK BOX,Discontinued,1,,Part
X1633,#5 BULK BOX,Discontinued,1,,Part
X1636,DIVIDER,Discontinued,1,,Part
X1637,(R1601) O/S FOR SSIV ENCLOSURE,Discontinued,1,,Part
X3012,POLY BAG - 8940FP (BULK BAG),Discontinued,1,,Part
X3014,GUSSETTED POLYBAG-(R4549),Discontinued,1,,Part
X3018,"BTM SEAL BAG 20"" X 18"" X 30""",Discontinued,1,,Part
X9002,UNIVERSAL BLCK CNTRTE(RM074),Discontinued,1,,Part
X9003,NYLON 35% GLASS B-3EG-7(RM056),Discontinued,1,,Part
X9806,Glucopon Spray,Discontinued,1,,Part
X98061,WINDOW W/PAD PRINT,Discontinued,1,,Part
X98063,ISOCYANATE 611 (R98028),Discontinued,1,,Part
X98140,BLACK PAD INK,Active,1,,Part
X98141,RED PAD INK,Active,1,,Part
X98142,THINNER FOR PAD PRINTING,Active,1,,Part
X98146,ADDITIVE FOR PAD PRINTER,Active,1,,Part
X98151,ORANGE PAD INK,Active,1,,Part
X9894,PURGING SOLVENT S-235 A,Active,0,,Part
X9897,Videojet Cleaning Solution V901-Q,Discontinued,1,,Part
X9898,Videojet Ink V411-D,Active,0,,Part
X9899,Videojet Makeup Fluid V706-D,Active,0,,Part
X9900,"Plunger, 12 mL with Extended Flange",Active,0,,Part
X9901,"Ink Thinner, VD Trans Tech Part Number 1201011",Active,0,,Part
X9902,"Polybag, 13 Inch x 10 Inch",Active,0,,Part
ZAZ1013,DISPENSER ASSEMBLY 8555/C,Discontinued,1,,Part
ZBZ0001,FOOT PEDAL NI-CHROME,Discontinued,1,,Part
ZBZ0003,GENERIC CART VINYL COATED,Discontinued,1,,Part
ZBZ0006,HANDLE NI-CHROME,Discontinued,1,,Part
ZBZ0010,SLIDE RAIL NI-CHROME,Discontinued,1,,Part
ZBZ1026,BENT SLIDE RAIL ASSEMBLY,Discontinued,1,,Part
ZBZ1027,PIVOT LINKAGE ASSEMBLY,Discontinued,1,,Part
ZBZ1028,MAIN LINKAGE ASSEMBLY,Discontinued,1,,Part
ZBZ1029,LINKAGE & HOLDER ASSEMBLY,Discontinued,1,,Part
ZDZ1031,BENT SIDE RAIL WIRE,Active,0,,Part
